,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9724,3550048,1316647,G001087,01/01/2001 01:00:39 PM,007XX N CICERO AV,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CURRENCY EXCHANGE,True,False,1111,11.0,,,10,1144255.0,1904683.0,2001,08/17/2015 03:03:40 PM,41.894470642,-87.745645542,"(41.894470642, -87.745645542)"
9725,3550049,1316648,G007746,01/04/2001 03:50:00 PM,013XX S CANAL ST,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,True,False,131,1.0,,,06,1173296.0,1893985.0,2001,08/17/2015 03:03:40 PM,41.864519262,-87.639304571,"(41.864519262, -87.639304571)"
9726,3550050,1316649,G007837,01/04/2001 04:49:46 PM,077XX S RIDGELAND AV,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,414,4.0,,,05,1189255.0,1853907.0,2001,08/17/2015 03:03:40 PM,41.75417373,-87.582006514,"(41.75417373, -87.582006514)"
9727,3550051,1316651,G006985,01/03/2001 07:00:00 PM,028XX W PETERSON AV,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2413,24.0,,,06,1156318.0,1939781.0,2001,08/17/2015 03:03:40 PM,41.990546675,-87.700389633,"(41.990546675, -87.700389633)"
9728,3550052,1316653,G005746,01/03/2001 03:45:00 PM,016XX S WOOD ST,0810,THEFT,OVER $500,STREET,False,False,1223,12.0,,,06,1164598.0,1892083.0,2001,08/17/2015 03:03:40 PM,41.859488519,-87.671288546,"(41.859488519, -87.671288546)"
9729,3550053,1316654,G008862,01/04/2001 05:30:00 PM,041XX N MARMORA AV,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,1624,16.0,,,05,1136230.0,1927099.0,2001,08/17/2015 03:03:40 PM,41.956129745,-87.774582983,"(41.956129745, -87.774582983)"
9730,3550054,1316655,G007821,01/04/2001 04:25:00 PM,010XX N ASHLAND AV,0560,ASSAULT,SIMPLE,GROCERY FOOD STORE,False,True,1322,12.0,,,08A,1165489.0,1907311.0,2001,08/17/2015 03:03:40 PM,41.901256473,-87.66758435,"(41.901256473, -87.66758435)"
9731,3550055,1316656,G008419,01/04/2001 09:11:00 PM,010XX E 93 ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,True,True,413,4.0,,,04A,1184901.0,1843569.0,2001,08/17/2015 03:03:40 PM,41.725908389,-87.598285884,"(41.725908389, -87.598285884)"
9732,3550056,1316660,G008867,01/04/2001 04:30:00 PM,035XX W POTOMAC AV,0810,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",False,False,1422,14.0,,,06,1152770.0,1908388.0,2001,08/17/2015 03:03:40 PM,41.904473213,-87.714274037,"(41.904473213, -87.714274037)"
9733,3550057,1316661,G005864,01/03/2001 05:35:00 PM,013XX S CANAL ST,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,131,1.0,,,06,1173296.0,1893985.0,2001,08/17/2015 03:03:40 PM,41.864519262,-87.639304571,"(41.864519262, -87.639304571)"
9734,3550058,1316662,G008221,01/04/2001 04:00:00 AM,014XX W ERIE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,1324,12.0,,,04A,1166475.0,1904492.0,2001,08/17/2015 03:03:40 PM,41.893499885,-87.664043469,"(41.893499885, -87.664043469)"
9735,3550059,1316664,G007826,01/04/2001 04:21:59 PM,030XX W MADISON ST,0460,BATTERY,SIMPLE,STREET,False,False,1331,12.0,,,08B,1156377.0,1899909.0,2001,08/17/2015 03:03:40 PM,41.88113386,-87.701253912,"(41.88113386, -87.701253912)"
